0,.000,.039,.079,.119,.158,.198,.238,.277,.317,.357,.397
10,.397,.437,.477,.517,.557,.597,.637,.677,.718,.758,.798
20,.798,.838,.879,.919,.960,1.000,1.041,1.081,1.122,1.162,1.203
30,1.203,1.244,1.285,1.325,1.366,1.407,1.448,1.489,1.529,1.570,1.611
40,1.611,1.652,1.693,1.734,1.776,1.817,1.858,1.899,1.940,1.981,2.022
50,2.022,2.064,2.105,2.146,2.188,2.229,2.270,2.312,2.353,2.394,2.436
60,2.436,2.477,2.519,2.560,2.601,2.643,2.684,2.726,2.767,2.809,2.850
70,2.850,2.892,2.933,2.975,3.016,3.058,3.100,3.141,3.183,3.224,3.266
80,3.266,3.307,3.349,3.390,3.432,3.473,3.515,3.556,3.598,3.639,3.681
90,3.681,3.722,3.764,3.805,3.847,3.888,3.930,3.971,4.012,4.054,4.095
100,4.095,4.137,4.178,4.219,4.261,4.302,4.343,4.384,4.426,4.467,4.508
110,4.508,4.549,4.590,4.632,4.673,4.714,4.755,4.796,4.837,4.878,4.919
120,4.919,4.960,5.001,5.042,5.083,5.124,5.164,5.205,5.246,5.287,5.327
130,5.327,5.368,5.409,5.450,5.490,5.531,5.571,5.612,5.652,5.693,5.733
140,5.733,5.774,5.814,5.855,5.895,5.936,5.976,6.016,6.057,6.097,6.137
150,6.137,6.177,6.218,6.258,6.298,6.338,6.378,6.419,6.459,6.499,6.539
160,6.539,6.579,6.619,6.659,6.699,6.739,6.779,6.819,6.859,6.899,6.939
170,6.939,6.979,7.019,7.059,7.099,7.139,7.179,7.219,7.259,7.299,7.338
180,7.338,7.378,7.418,7.458,7.498,7.538,7.578,7.618,7.658,7.697,7.737
190,7.737,7.777,7.817,7.857,7.897,7.937,7.977,8.017,8.057,8.097,8.137
200,8.137,8.177,8.216,8.256,8.296,8.336,8.376,8.416,8.456,8.497,8.537
210,8.537,8.577,8.617,8.657,8.697,8.737,8.777,8.817,8.857,8.898,8.938
220,8.938,8.978,9.018,9.058,9.099,9.139,9.179,9.220,9.260,9.300,9.341
230,9.341,9.381,9.421,9.462,9.502,9.543,9.583,9.624,9.664,9.705,9.745
240,9.745,9.786,9.826,9.867,9.907,9.948,9.989,10.029,10.070,10.111,10.151
250,10.151,10.192,10.233,10.274,10.315,10.355,10.396,10.437,10.478,10.519,10.560
260,10.560,10.600,10.641,10.682,10.723,10.764,10.805,10.846,10.887,10.928,10.969
270,10.969,11.010,11.051,11.093,11.134,11.175,11.216,11.257,11.298,11.339,11.381
280,11.381,11.422,11.461,11.504,11.546,11.587,11.628,11.669,11.711,11.752,11.793
290,11.793,11.835,11.876,11.918,11.959,12.000,12.042,12.083,12.125,12.166,12.207
300,12.207,12.249,12.290,12.332,12.373,12.415,12.456,12.498,12.539,12.581,12.623
310,12.623,12.664,12.706,12.747,12.789,12.831,12.872,12.914,12.955,12.997,13.039
320,13.039,13.080,13.122,13.164,13.205,13.247,13.289,13.331,13.372,13.414,13.456
330,13.456,13.497,13.539,13.581,13.623,13.665,13.706,13.748,13.790,13.832,13.874
340,13.874,13.915,13.957,13.999,14.041,14.083,14.125,14.167,14.208,14.250,14.292
350,14.292,14.334,14.376,14.418,14.460,14.502,14.544,14.586,14.628,14.670,14.712
360,14.712,14.754,14.796,14.838,14.880,14.922,14.964,15.006,15.048,15.090,15.132
370,15.132,15.174,15.216,15.258,15.300,15.342,15.384,15.426,15.468,15.510,15.552
380,15.552,15.594,15.636,15.679,15.721,15.763,15.805,15.847,15.889,15.931,15.974
390,15.974,16.016,16.058,16.100,16.142,16.184,16.227,16.269,16.311,16.353,16.395
400,16.395,16.438,16.480,16.522,16.564,16.607,16.649,16.691,16.733,16.776,16.818
410,16.818,16.860,16.902,16.945,16.987,17.029,17.072,17.114,17.156,17.199,17.241
420,17.241,17.283,17.326,17.368,17.410,17.453,17.495,17.537,17.580,17.622,17.664
430,17.664,17.707,17.749,17.792,17.834,17.876,17.919,17.961,18.004,18.046,18.088
440,18.088,18.131,18.173,18.216,18.258,18.301,18.343,18.385,18.428,18.470,18.513
450,18.513,18.555,18.598,18.640,18.683,18.725,18.768,18.810,18.853,18.895,18.938
460,18.938,18.980,19.023,19.065,19.108,19.150,19.193,19.235,19.278,19.320,19.363
470,19.363,19.405,19.448,19.490,19.533,19.576,19.618,19.661,19.703,19.746,19.788
480,19.788,19.831,19.873,19.916,19.959,20.001,20.044,20.086,20.129,20.172,20.214
490,20.214,20.257,20.299,20.342,20.385,20.427,20.470,20.512,20.555,20.598,20.640
500,20.640,20.683,20.725,20.768,20.811,20.853,20.896,20.938,20.981,21.024,21.066
510,21.066,21.109,21.152,21.194,21.237,21.280,21.322,21.365,21.407,21.450,21.493
520,21.493,21.535,21.578,21.621,21.663,21.706,21.749,21.791,21.834,21.876,21.919
530,21.919,21.962,22.004,22.047,22.090,22.132,22.175,22.218,22.260,22.303,22.346
540,22.346,22.388,22.431,22.473,22.516,22.559,22.601,22.644,22.687,22.729,22.772
550,22.772,22.815,22.857,22.900,22.942,22.985,23.028,23.070,23.113,23.156,23.198
560,23.198,23.241,23.284,23.326,23.369,23.411,23.454,23.497,23.539,23.582,23.624
570,23.624,23.667,23.710,23.752,23.795,23.837,23.880,23.923,23.965,24.008,24.050
580,24.050,24.093,24.136,24.178,24.221,24.263,24.306,24.348,24.391,24.434,24.476
590,24.476,24.519,24.561,24.604,24.646,24.689,24.731,24.774,24.817,24.859,24.902
600,24.902,24.944,24.987,25.029,25.072,25.114,25.157,25.199,25.242,25.284,25.327
610,25.327,25.369,25.412,25.454,25.497,25.539,25.582,25.624,25.666,25.709,25.751
620,25.751,25.794,25.836,25.879,25.921,25.964,26.006,26.048,26.091,26.133,26.176
630,26.176,26.218,26.260,26.303,26.345,26.387,26.430,26.472,26.515,26.557,26.599
